id,q116_0_taille_menage,q236_1_cash_transfert,q236_2_bons_achat_alimentaire,q236_3_bourses_securite_familiale,q236_4_couverture_maladie_universelle,q401_1_montant_total_revenus_menage,q402_1_montant_revenu_agriculture_30_derniers_jours,q402_2_montant_revenu_elevage_30_derniers_jours,q402_3_montant_revenu_peche_30_derniers_jours,q402_4_montant_revenu_commerce_30_derniers_jours,q402_5_montant_revenu_salaire_30_derniers_jours,q402_7_montant_revenu_transferts_30_derniers_jours,q402_8_montant_revenu_dons_30_derniers_jours,q403_1_montant_depense_alimentation,q403_2_montant_depense_eau_electricite_gaz_eclairage,q403_3_montant_depense_transport_30_derniers_jours,q403_4_montant_depense_sante_30_derniers_jours,q403_5_montant_depense_education,POIDS_DR,POIDS_DR_REDRESS,DEPENSES_TOTALES,DEPENSES_ALIMENTAIRES,PDAM,TYPE_TOILETTE,SOURCE_EAU_BOISSON,ENERGIE_CUISSON,CASH_TRANSFERT,SECHERESSE,CASH_TRANSFERT_MONTANT,BON_ACHAT_ALIM_MONTANT,CASH_TRANSFERT_MONTANT_AP,BON_ACHAT_ALIM_MONTANT_AP,CASH_TRANSFERT_MONTANT_AP_RECU,BON_ACHAT_ALIM_MONTANT_AP_RECU,q100_region,q101_departement,q114_1_situation_matrimoniale_cm,q115_1_cm_souffre_t_il_maladie_chronique,q206_1_type_toilette_utilise,q207_1_principale_source_energie_cuisson,q208_1_principale_source_energie_eclairage,q209_1_principale_source_eau_boisson,q210_1_principal_mode_evacuation_dechets_solides,q211_1_principal_mode_evacuation_eaux_usees,q212_1_principal_mode_evacuation_boues_vidange,q214_1_pratique_agricole_derniere_campagne,q215_1_si_oui_a_quelle_date_avez_vous_seme,q215_2_si_vous_avez_resseme_precisez_la_date,q220_1_mode_acquisition_semences,q226_pratiquer_elevage,q228_evolution_espece_par_rapport_annee_passee,q400_1_principale_source_revenu,q501_probleme_sante_membre_12_derniers_mois,q502_1_probleme_sante_plus_serieux,q506_distance_lieu_traitement,q508_distance_lieu_approvisionnement_marche_cm,q512_1_vendre_plus_animaux,GCA_112_28,rCSI_r,PDAM__r,DISTANCE_LIEU_TRAITEMENT,DISTANCE_MARCHE_APPROVISIONNEMENT,rCSI__r_AP,PDAM__r_AP,HHS__r_AP,LCSI_24__r_AP,GCA_112_28_AP,HDDS__r_AP,CHOCS,TAILLE_MEN,PRATIQUE_AGRICOLE,MALADIE_CHRONIQUE_r,PRATIQUE_ELEVAGE,MALADIE_CHRONIQUE_rrr,PRATIQUE_PECHE,PRATIQUE_FORESTERIE,SITUATION_MATRIMONIALE,RAISON_NON_PRATIQUE_AGRICOLE,RESEMIS,MODE_ACCES_TERRE,AVEZ_VOUS_RECOLTEZ,MILIEU_RESIDENCE,SEXE,q113_7_niveau_instruction,q113_8_categorie_socio_professionnelle,AGE,NIVEAU_INSTRUCTION,CATEGORIE_SOCIA_ECO,HAUTEUR_PARTICIPATION,q600_inquiets_de_ne_pas_avoir_suffisamment_de_nourriture,q601_ne_pas_manger_nourriture_saine_nutritive,q602_manger_nourriture_peu_variee,q603_sauter_un_repas,q604_manger_moins_que_ce_que_vous_auriez_du,q605_1_ne_plus_avoir_de_nourriture_pas_suffisamment_d_argent,q606_1_avoir_faim_mais_ne_pas_manger,q607_1_passer_toute_une_journee_sans_manger,insécurité_alimentaire
2491,-0.4813323280305159,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,-0.19924195690526578,0.6922341361327493,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-0.24549086297399955,-0.3805406356360127,-0.4377216171895668,-0.059576684114305604,-0.1849081418748747,-0.08581858699009624,-0.07904739714461799,-0.4178609430075951,-0.24549086297399955,0.8470823476889616,-1.4488488225124851,-2.370729346448639,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,6,43,4,1,5,1,5,5,4,5,3,1,6,6,1,1,0,0,1,3,1,1,1,0,2,1,1,1,1,0,2,0,0,0,0,3,0,1,1,0,0,0,4,5,7,5,2,0,1,1,8,3,2,9,0,2,2,2,1,2,1,1,1,0
2545,1.9385197402819165,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,-0.19924195690526578,0.6922341361327493,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-0.24549086297399955,-0.3805406356360127,-0.4377216171895668,-0.059576684114305604,-0.1849081418748747,-0.08725142053998085,-0.08051968467425237,-0.4178609430075951,-0.24549086297399955,0.8470823476889616,-1.4488488225124851,-2.370729346448639,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,6,43,3,1,5,1,5,5,4,5,3,1,6,6,1,1,0,0,1,3,1,1,1,0,2,1,1,1,1,0,2,2,0,0,0,2,1,1,1,0,0,0,3,5,7,5,2,0,1,1,8,3,2,9,0,2,2,2,1,2,1,1,1,0
2547,1.6538312616569244,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,-0.19924195690526578,0.6922341361327493,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-0.24549086297399955,-0.3805406356360127,-0.4377216171895668,-0.059576684114305604,-0.1849081418748747,-0.08725142053998085,-0.08051968467425237,-0.4178609430075951,-0.24549086297399955,0.8470823476889616,-1.4488488225124851,-2.370729346448639,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,6,43,3,6,5,1,5,5,4,5,3,1,6,6,1,1,0,0,1,3,1,1,1,0,2,1,1,1,1,0,2,2,0,0,0,2,1,6,1,1,0,0,3,5,7,5,2,0,1,1,8,4,2,9,0,2,2,2,1,2,1,1,1,0
2507,-0.6236765673430119,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,2.0649413141314366,6.194265265632006,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,0.6166444815728396,-0.3805406356360127,-0.38645253140717034,-0.2720039768287262,-0.1849081418748747,-0.08767696133111692,-0.08095694300071746,-0.09445855436532055,0.6166444815728396,1.3626616450313702,-1.4488488225124851,-2.370729346448639,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,6,43,3,1,5,1,5,5,4,5,3,1,2,6,1,1,1,0,1,3,4,4,1,0,2,1,4,4,1,0,2,2,0,0,0,3,0,1,1,0,0,0,3,5,7,5,1,0,1,1,8,3,2,9,0,2,2,2,1,1,1,1,1,1
2513,0.5150773471569563,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,0.2050764843512882,1.0852363596684105,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,0.7492806884261994,-0.3805406356360127,-0.1172898310495889,-0.14454760120007384,-0.1849081418748747,-0.08767696133111692,-0.08095694300071746,0.05380122817787218,0.7492806884261994,0.9586458109607386,-1.4488488225124851,-2.370729346448639,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,6,43,3,2,5,1,3,5,4,5,3,1,1,6,0,1,1,0,1,4,2,6,3,1,2,1,2,6,2,2,2,0,0,4,0,4,1,2,1,1,0,0,3,5,7,5,1,0,1,1,6,2,2,7,1,1,1,1,1,1,1,1,1,1
2523,-0.7660208066555079,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,0.2050764843512882,1.0852363596684105,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,0.7492806884261994,-0.3805406356360127,-0.1172898310495889,-0.14454760120007384,-0.1849081418748747,-0.08301627647585277,-0.07616792323462716,0.05380122817787218,0.7492806884261994,0.9586458109607386,-1.4488488225124851,-2.370729346448639,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,6,43,3,2,5,1,3,5,4,5,3,1,1,6,0,1,1,0,1,4,2,6,3,1,2,1,2,6,2,2,2,0,0,4,0,3,1,2,1,1,0,0,3,5,7,5,1,0,1,2,6,0,3,7,1,1,1,1,1,1,1,1,1,1
2524,-0.6236765673430119,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,0.2050764843512882,1.0852363596684105,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,0.7492806884261994,-0.3805406356360127,-0.1172898310495889,-0.14454760120007384,-0.1849081418748747,-0.08301627647585277,-0.07616792323462716,0.05380122817787218,0.7492806884261994,0.9586458109607386,-1.4488488225124851,-2.370729346448639,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,6,43,3,1,5,1,3,5,4,5,3,1,1,6,0,1,1,0,1,4,2,6,3,1,2,1,2,6,2,2,2,0,0,4,0,3,0,1,1,0,0,0,3,5,7,5,1,0,1,1,6,5,2,7,1,1,1,1,1,1,1,1,1,1
2597,-0.6236765673430119,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,0.2050764843512882,1.0852363596684105,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,0.7492806884261994,-0.3805406356360127,-0.1172898310495889,-0.14454760120007384,-0.1849081418748747,-0.08301627647585277,-0.07616792323462716,0.05380122817787218,0.7492806884261994,0.9586458109607386,-1.4488488225124851,-2.370729346448639,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,6,43,3,1,5,1,3,5,4,5,3,1,1,6,0,1,1,0,1,4,2,6,3,1,2,1,2,6,1,0,2,0,0,4,0,3,1,1,1,0,0,0,3,5,7,5,1,0,1,1,6,5,2,7,1,1,1,1,1,1,1,1,1,1
2609,1.6538312616569244,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,0.2050764843512882,1.0852363596684105,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,0.7492806884261994,-0.3805406356360127,-0.1172898310495889,-0.14454760120007384,-0.1849081418748747,-0.08819756974579698,-0.08149188669799844,0.05380122817787218,0.7492806884261994,0.9586458109607386,-1.4488488225124851,-2.370729346448639,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,6,43,4,6,5,1,3,5,4,5,3,1,1,6,0,1,1,0,1,4,2,6,3,1,2,1,2,6,2,2,2,0,0,0,0,2,1,6,1,1,0,0,4,5,7,5,1,0,1,1,6,2,2,7,1,1,1,1,1,1,1,1,1,1
2607,1.0844543044069404,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,0.2050764843512882,1.0852363596684105,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,0.7492806884261994,-0.3805406356360127,-0.1172898310495889,-0.14454760120007384,-0.1849081418748747,-0.08819756974579698,-0.08149188669799844,0.05380122817787218,0.7492806884261994,0.9586458109607386,-1.4488488225124851,-2.370729346448639,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,6,43,4,7,5,1,3,5,4,5,3,1,1,6,0,1,1,0,1,4,2,6,3,1,2,1,2,6,1,0,2,0,0,0,0,2,1,7,1,1,0,0,4,5,7,5,1,0,1,1,7,0,2,8,1,1,1,1,1,1,1,1,1,1
4603,-0.4813323280305159,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,-0.19924195690526578,0.6922341361327493,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-0.17917275954731962,-0.3805406356360127,0.2885904313943831,-0.3357321646430524,-0.1849081418748747,0.4505517828159769,0.47209227067688997,-0.3167976965568843,-0.17917275954731962,0.4109288904536206,0.6902031353870826,0.4218111196446797,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,12,42,3,1,3,1,3,4,4,2,3,0,11,11,0,0,3,0,0,9,7,3,1,0,2,3,5,3,1,0,2,0,0,0,0,3,0,1,0,0,0,0,3,5,0,0,1,0,0,1,7,4,2,8,19,1,2,1,2,2,1,1,1,1
4636,2.0808639795944126,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,-0.19924195690526578,0.6922341361327493,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-0.17917275954731962,-0.3805406356360127,0.2885904313943831,-0.3357321646430524,-0.1849081418748747,0.4457412805048188,0.467149308136316,-0.3167976965568843,-0.17917275954731962,0.4109288904536206,0.6902031353870826,0.4218111196446797,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,12,42,4,1,3,1,3,4,4,2,3,0,11,11,0,0,3,0,0,9,7,3,1,0,2,3,5,3,1,0,2,0,0,0,0,2,0,1,0,0,1,0,4,5,0,0,1,0,1,3,8,3,4,9,19,1,2,1,2,2,1,1,1,1
4604,-0.6236765673430119,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,-0.19924195690526578,0.6922341361327493,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-0.17917275954731962,-0.3805406356360127,0.2885904313943831,-0.3357321646430524,-0.1849081418748747,0.4505517828159769,0.47209227067688997,-0.3167976965568843,-0.17917275954731962,0.4109288904536206,0.6902031353870826,0.4218111196446797,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,12,42,1,1,3,1,3,4,4,2,3,1,5,6,0,0,3,0,0,9,7,3,1,0,2,3,5,3,1,0,2,0,0,0,0,3,1,1,0,0,0,0,1,5,7,2,1,0,1,1,7,3,2,8,5,1,2,1,2,2,1,1,1,1
4641,0.3727331078444603,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,-0.3609693334078874,0.29923191259708826,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-0.3118089664006795,-0.2600924681219263,-0.4377216171895668,-0.12330487192863178,-0.1849081418748747,0.4457412805048188,0.467149308136316,-0.3729439445850569,-0.3118089664006795,0.29110146693949007,-1.4488488225124851,0.4218111196446797,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,12,42,4,2,5,1,7,7,6,5,3,1,1,11,2,0,3,0,1,4,7,7,1,2,1,3,5,5,1,2,2,2,1,0,0,4,1,2,0,1,0,0,4,5,0,5,1,0,0,1,8,3,2,9,5,2,2,2,1,1,1,1,1,1
4626,-0.4813323280305159,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,-0.19924195690526578,0.6922341361327493,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-0.17917275954731962,-0.3805406356360127,0.2885904313943831,-0.3357321646430524,-0.1849081418748747,0.4537770059564139,0.4754063023802292,-0.3167976965568843,-0.17917275954731962,0.4109288904536206,0.6902031353870826,0.4218111196446797,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,12,42,4,1,3,1,3,4,4,2,3,0,11,11,0,1,3,0,0,9,7,3,1,0,2,3,5,3,1,0,2,0,0,0,0,3,0,1,1,0,0,0,4,5,0,0,1,0,0,3,8,3,4,9,5,1,2,1,2,2,1,1,1,1
4605,-0.9083650459680039,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,-0.19924195690526578,0.6922341361327493,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-0.17917275954731962,-0.3805406356360127,0.2885904313943831,-0.3357321646430524,-0.1849081418748747,0.4505517828159769,0.47209227067688997,-0.3167976965568843,-0.17917275954731962,0.4109288904536206,0.6902031353870826,0.4218111196446797,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,12,42,4,1,3,1,3,4,4,2,3,1,5,6,0,1,3,0,0,9,7,3,1,0,2,3,5,3,1,0,2,0,0,0,0,1,1,1,1,0,0,0,4,5,7,4,1,0,1,1,8,4,2,9,7,1,2,1,2,2,1,1,1,1
4624,-1.0507092852805,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,-0.19924195690526578,0.6922341361327493,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-0.17917275954731962,-0.3805406356360127,0.2885904313943831,-0.3357321646430524,-0.1849081418748747,0.4537770059564139,0.4754063023802292,-0.3167976965568843,-0.17917275954731962,0.4109288904536206,0.6902031353870826,0.4218111196446797,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,12,42,3,1,3,1,3,4,4,2,3,0,11,11,0,1,3,0,0,9,7,3,1,0,2,3,5,3,1,0,2,0,0,0,0,1,0,1,1,0,0,0,3,5,0,0,1,0,1,2,8,4,3,9,7,1,2,1,2,2,1,1,1,1
4644,-0.4813323280305159,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,-0.19924195690526578,0.6922341361327493,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-0.17917275954731962,-0.3805406356360127,0.2885904313943831,-0.3357321646430524,-0.1849081418748747,0.4457412805048188,0.467149308136316,-0.3167976965568843,-0.17917275954731962,0.4109288904536206,0.6902031353870826,0.4218111196446797,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,12,42,4,1,3,1,3,4,4,2,3,1,5,6,0,0,3,0,0,9,7,3,1,0,2,3,5,3,1,0,2,0,0,0,0,3,1,1,0,0,0,0,4,5,7,2,1,0,1,1,8,3,2,9,0,1,2,1,2,2,1,1,1,1
4643,-1.620086242530484,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,,-0.486772534474234,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-1.2402624143741985,-0.3805406356360127,-0.4377216171895668,-0.3357321646430524,-0.1849081418748747,0.4457412805048188,0.467149308136316,-0.9175625504583318,-1.2402624143741985,0.1735695879371198,0.6902031353870826,0.4218111196446797,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,12,42,5,9,6,5,6,10,7,6,4,2,11,11,8,2,3,9,2,9,7,7,5,0,1,3,5,5,1,0,2,0,0,0,0,0,1,1,1,0,1,0,3,5,0,0,0,0,1,4,1,0,5,2,1,4,4,4,4,4,4,4,4,2
4654,-0.4813323280305159,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,-0.19924195690526578,0.6922341361327493,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-0.17917275954731962,-0.3805406356360127,0.2885904313943831,-0.3357321646430524,-0.1849081418748747,0.4457412805048188,0.467149308136316,-0.3167976965568843,-0.17917275954731962,0.4109288904536206,0.6902031353870826,0.4218111196446797,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,12,42,3,1,3,1,3,4,4,2,3,1,1,6,0,0,3,0,0,9,7,3,1,0,2,3,5,3,1,0,2,0,0,0,0,3,1,1,0,0,0,0,3,5,7,5,1,0,1,4,1,0,5,2,1,1,2,1,2,2,1,1,1,1
4646,-1.193053524592996,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,-0.19924195690526578,0.6922341361327493,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-0.17917275954731962,-0.3805406356360127,0.2885904313943831,-0.3357321646430524,-0.1849081418748747,0.4457412805048188,0.467149308136316,-0.3167976965568843,-0.17917275954731962,0.4109288904536206,0.6902031353870826,0.4218111196446797,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,12,42,4,1,3,1,3,4,4,2,3,1,5,6,0,1,3,0,0,9,7,3,1,0,2,3,5,3,1,0,2,0,0,0,0,1,1,1,1,0,0,0,4,5,7,3,1,0,1,4,6,0,5,7,1,1,2,1,2,2,1,1,1,1
4645,0.08804462921946822,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,-0.19924195690526578,0.6922341361327493,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-0.17917275954731962,-0.3805406356360127,0.2885904313943831,-0.3357321646430524,-0.1849081418748747,0.4457412805048188,0.467149308136316,-0.3167976965568843,-0.17917275954731962,0.4109288904536206,0.6902031353870826,0.4218111196446797,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,12,42,3,1,3,1,3,4,4,2,3,1,5,6,0,1,3,0,0,9,7,3,1,0,2,3,5,3,1,0,2,0,0,0,0,4,1,1,1,0,0,0,3,5,7,4,1,0,0,1,7,2,2,8,1,1,2,1,2,2,1,1,1,1
4568,-1.193053524592996,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,2.550123443639301,-0.486772534474234,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-0.3005348888181439,-0.30310967080552864,-0.2668246645815786,-0.17641169510723692,-0.1849081418748747,1.202410570093231,1.2446539660936,-0.278337516657586,-0.3005348888181439,-0.16479367309702952,0.6902031353870826,0.4218111196446797,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,12,41,3,1,3,3,7,6,2,2,2,0,11,11,8,0,3,2,0,9,5,7,1,0,2,2,5,5,1,0,2,0,0,0,0,1,0,1,0,0,0,0,3,5,0,0,0,0,1,0,8,1,1,9,0,1,1,1,1,1,1,1,1,1
4491,0.23038886853196425,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,-0.037514580402644195,1.0852363596684105,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-0.842353793814119,-0.2945062302688082,-0.3522731408855727,-0.3357321646430524,-0.1849081418748747,0.05183482557685502,0.06239638936445512,-0.6957848707470498,-0.842353793814119,0.46510374093127377,-1.4488488225124851,0.4218111196446797,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,11,40,4,1,5,1,5,6,4,2,3,1,5,0,0,1,2,0,0,9,7,5,1,0,0,1,5,5,1,0,3,0,0,0,0,4,1,1,1,0,0,1,4,5,1,2,2,0,1,3,7,3,4,8,19,2,2,2,2,2,2,2,1,2
4425,-1.0507092852805,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,-0.037514580402644195,1.0852363596684105,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-0.842353793814119,-0.2945062302688082,-0.3522731408855727,-0.3357321646430524,-0.1849081418748747,0.6517882974563562,0.6788699602658163,-0.6957848707470498,-0.842353793814119,0.46510374093127377,-1.4488488225124851,0.4218111196446797,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,11,40,3,1,5,1,5,6,4,2,3,1,5,0,0,1,2,0,0,9,7,5,1,0,0,1,5,5,1,0,2,0,0,0,0,1,1,1,1,0,0,1,3,5,1,2,2,0,1,3,6,1,4,7,5,2,2,2,2,2,2,2,1,2
4500,-0.33898808871801983,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,-0.037514580402644195,1.0852363596684105,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-0.842353793814119,-0.2945062302688082,-0.3522731408855727,-0.3357321646430524,-0.1849081418748747,0.038753015005668204,0.048954362849620965,-0.6957848707470498,-0.842353793814119,0.46510374093127377,-1.4488488225124851,0.4218111196446797,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,11,40,3,1,5,1,5,6,4,2,3,1,5,0,0,1,2,0,0,9,7,5,1,0,0,1,5,5,1,0,2,0,0,0,0,3,0,1,1,0,0,1,3,5,1,2,2,0,1,3,6,3,4,7,5,2,2,2,2,2,2,2,1,2
4408,-0.9083650459680039,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,-0.037514580402644195,1.0852363596684105,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-0.842353793814119,-0.2945062302688082,-0.3522731408855727,-0.3357321646430524,-0.1849081418748747,0.04881892047965416,0.05929743940931086,-0.6957848707470498,-0.842353793814119,0.46510374093127377,-1.4488488225124851,0.4218111196446797,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,11,40,3,1,5,1,5,6,4,2,3,1,2,3,0,1,2,0,0,9,7,5,1,0,0,1,5,5,1,2,2,2,0,0,0,1,1,1,1,0,0,1,3,5,4,5,1,0,1,1,6,4,2,7,5,2,2,2,2,2,2,2,1,2
4506,0.9421100650944444,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,-0.6197331358120819,-0.32957164505996955,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-1.0810989661501667,-0.3461268734891309,-0.41635949811356826,-0.22951851828584208,-0.1849081418748747,0.038753015005668204,0.048954362849620965,-0.8052700544019864,-1.0810989661501667,-0.26717495832174626,0.6902031353870826,-2.370729346448639,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,11,40,4,1,3,1,3,5,4,3,3,1,5,11,2,1,0,1,1,3,1,1,1,0,2,2,1,1,1,0,2,0,0,0,0,2,1,1,1,0,0,0,4,5,0,5,1,0,1,1,6,1,2,7,7,0,1,0,1,2,0,1,1,1
